;row_ID;Lab_ID;year;vineyard;plant_cover;sand;SOM_perc;CN;h2o_perc;pH;Microbial_biomass;basal_res;Cu_mg_kg;Herbicide
225.16;225;225_16;2016;25;15.00;36.79;3.55;9.83;17.47;7.28;307.34;2.54;69.53;yes
227.16;227;227_16;2016;27;40.00;46.56;9.23;12.94;28.63;7.14;859.84;6.00;228.1;no
230.16;230;230_16;2016;30;40.00;22.63;5.53;10.54;19.23;6.79;736.72;3.57;45.93;no
231.16;231;231_16;2016;31;1.25;15.29;6.04;4.01;25.95;5.48;213.19;2.71;70.47;yes
106.1.16;106;106.1_16;2016;6;49.50;20.77;5.64;10.41;19.39;7.25;587.75;4.20;50.01;no
106.2.16;106;106.2_16;2016;6;49.50;20.77;5.64;10.41;19.39;7.25;587.75;4.20;50.01;no
113.1.16;113;113.1_16;2016;13;9.25;40.54;7.34;10.40;18.29;6.91;578.58;4.41;147.9;yes
113.2.16;113;113.2_16;2016;13;9.25;40.54;7.34;10.40;18.29;6.91;578.58;4.41;147.9;yes
114.1.16;114;114.1_16;2016;14;16.75;44.58;11.30;13.01;22.61;6.96;936.67;5.70;47.89;yes
114.2.16;114;114.2_16;2016;14;16.75;44.58;11.30;13.01;22.61;6.96;936.67;5.70;47.89;yes
117.1.16;117;117.1_16;2016;17;22.25;32.52;2.24;13.70;14.19;7.18;161.18;2.37;46.13;yes
117.2.16;117;117.2_16;2016;17;22.25;32.52;2.24;13.70;14.19;7.18;161.18;2.37;46.13;yes
118.1.16;118;118.1_16;2016;18;13.75;24.96;5.34;11.09;15.25;6.86;253.68;1.85;73.3;yes
118.2.16;118;118.2_16;2016;18;13.75;24.96;5.34;11.09;15.25;6.86;253.68;1.85;73.3;yes
120.1.16;120;120.1_16;2016;20;62.25;36.53;5.64;11.11;22.50;7.26;650.08;4.54;26.57;yes
120.2.16;120;120.2_16;2016;20;62.25;36.53;5.64;11.11;22.50;7.26;650.08;4.54;26.57;yes
124.1.16;124;124.1_16;2016;24;19.25;35.95;8.35;10.33;26.04;6.99;803.01;4.14;173.1;yes
124.2.16;124;124.2_16;2016;24;19.25;35.95;8.35;10.33;26.04;6.99;803.01;4.14;173.1;yes
128.1.16;128;128.1_16;2016;28;12.00;56.83;20.79;20.32;35.38;6.8;916.15;6.32;449.1;yes
132.1.16;132;132.1_16;2016;32;7.50;67.96;21.85;19.25;29.67;6.73;813.77;5.56;416.9;yes
132.2.16;132;132.2_16;2016;32;7.50;67.96;21.85;19.25;29.67;6.73;813.77;5.56;416.9;yes
133.1.16;133;133.1_16;2016;33;4.00;46.98;5.07;18.44;18.10;7.29;235.37;2.08;86.5;yes
133.2.16;133;133.2_16;2016;33;4.00;46.98;5.07;18.44;18.10;7.29;235.37;2.08;86.5;yes
206.1.16;206;206.1_16;2016;6;40.50;20.77;8.86;14.30;16.15;7.24;665.95;4.27;34.81;no
206.2.16;206;206.2_16;2016;6;40.50;20.77;8.86;14.30;16.15;7.24;665.95;4.27;34.81;no
213.1.16;213;213.1_16;2016;13;39.00;40.54;3.24;10.17;22.40;7.24;696.38;4.89;94.66;no
213.2.16;213;213.2_16;2016;13;39.00;40.54;3.24;10.17;22.40;7.24;696.38;4.89;94.66;no
214.1.16;214;214.1_16;2016;14;35.50;44.58;8.64;14.56;21.73;7.28;362.65;2.84;33.65;no
214.2.16;214;214.2_16;2016;14;35.50;44.58;8.64;14.56;21.73;7.28;362.65;2.84;33.65;no
218.1.16;218;218.1_16;2016;18;48.25;24.96;4.02;9.96;20.08;6.69;530.21;3.82;81.52;no
218.2.16;218;218.2_16;2016;18;48.25;24.96;4.02;9.96;20.08;6.69;530.21;3.82;81.52;no
220.1.16;220;220.1_16;2016;20;51.75;36.53;4.72;11.67;21.08;7.34;764.58;4.99;19.37;no
220.2.16;220;220.2_16;2016;20;51.75;36.53;4.72;11.67;21.08;7.34;764.58;4.99;19.37;no
224.1.16;224;224.1_16;2016;24;41.50;35.95;4.96;9.30;19.68;7.2;672.16;4.08;120.9;no
224.2.16;224;224.2_16;2016;24;41.50;35.95;4.96;9.30;19.68;7.2;672.16;4.08;120.9;no
228.1.16;228;228.1_16;2016;28;48.50;56.83;12.65;13.37;32.69;6.95;1017.26;7.66;468;no
228.2.16;228;228.2_16;2016;28;48.50;56.83;12.65;13.37;32.69;6.95;1017.26;7.66;468;no
232.2.16;232;232.2_16;2016;32;52.50;67.96;10.83;13.69;28.77;6.91;1000.25;6.29;520.1;no
233.1.16;233;233.1_16;2016;33;33.00;46.98;14.06;10.83;29.94;7.27;922.32;6.53;47.98;no
233.2.16;233;233.2_16;2016;33;33.00;46.98;14.06;10.83;29.94;7.27;922.32;6.53;47.98;no
